election_id,election_name,election_date,state,total_seats,pollster,pollster_harmonized,predictions_json,predictions_json_harmonized,actual_results_json,source,intervalscore,winner_correct,abserror,predicted_winner,actual_winner
tamil_nadu_2026,2026 Tamil Nadu Legislative Assembly election,2026-05-04,Tamil Nadu,234,Kamakhya Analytics,Kamakhya Analytics,"{""SPA"": [78, 95], ""AIADMK+"": [68, 84], ""TVK"": [67, 81], ""Others"": [0, 0]}","{""SPA"": [78, 95], ""AIADMK+"": [68, 84], ""TVK"": [67, 81], ""Others"": [0, 0]}","{""SPA"": 73, ""AIADMK+"": 53, ""TVK"": 108, ""Others"": 0}","Wikipedia: 2026 Tamil Nadu Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Tamil_Nadu_Legislative_Assembly_election",0.3348,0,0.0753,SPA,TVK
tamil_nadu_2026,2026 Tamil Nadu Legislative Assembly election,2026-05-04,Tamil Nadu,234,Matrize,Matrize,"{""SPA"": [122, 132], ""AIADMK+"": [87, 110], ""TVK"": [10, 12], ""Others"": [0, 6]}","{""SPA"": [122, 132], ""AIADMK+"": [87, 110], ""TVK"": [10, 12], ""Others"": [0, 6]}","{""SPA"": 73, ""AIADMK+"": 53, ""TVK"": 108, ""Others"": 0}","Wikipedia: 2026 Tamil Nadu Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Tamil_Nadu_Legislative_Assembly_election",1.0698,0,0.2131,SPA,TVK
tamil_nadu_2026,2026 Tamil Nadu Legislative Assembly election,2026-05-04,Tamil Nadu,234,P Marq,P-Marq,"{""SPA"": [125, 145], ""AIADMK+"": [65, 85], ""TVK"": [16, 26], ""Others"": [1, 6]}","{""SPA"": [125, 145], ""AIADMK+"": [65, 85], ""TVK"": [16, 26], ""Others"": [1, 6]}","{""SPA"": 73, ""AIADMK+"": 53, ""TVK"": 108, ""Others"": 0}","Wikipedia: 2026 Tamil Nadu Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Tamil_Nadu_Legislative_Assembly_election",0.9031,0,0.1864,SPA,TVK
tamil_nadu_2026,2026 Tamil Nadu Legislative Assembly election,2026-05-04,Tamil Nadu,234,People Insight,People's Insight,"{""SPA"": [122, 140], ""AIADMK+"": [60, 70], ""TVK"": [30, 40], ""Others"": [0, 4]}","{""SPA"": [122, 140], ""AIADMK+"": [60, 70], ""TVK"": [30, 40], ""Others"": [0, 4]}","{""SPA"": 73, ""AIADMK+"": 53, ""TVK"": 108, ""Others"": 0}","Wikipedia: 2026 Tamil Nadu Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Tamil_Nadu_Legislative_Assembly_election",0.7607,0,0.1549,SPA,TVK
tamil_nadu_2026,2026 Tamil Nadu Legislative Assembly election,2026-05-04,Tamil Nadu,234,People's Pulse,People's Pulse,"{""SPA"": [125, 145], ""AIADMK+"": [65, 80], ""TVK"": [18, 24], ""Others"": [2, 6]}","{""SPA"": [125, 145], ""AIADMK+"": [65, 80], ""TVK"": [18, 24], ""Others"": [2, 6]}","{""SPA"": 73, ""AIADMK+"": 53, ""TVK"": 108, ""Others"": 0}","Wikipedia: 2026 Tamil Nadu Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Tamil_Nadu_Legislative_Assembly_election",0.9017,0,0.1843,SPA,TVK
tamil_nadu_2026,2026 Tamil Nadu Legislative Assembly election,2026-05-04,Tamil Nadu,234,Political Laboratory,Political Laboratory,"{""SPA"": [135, 140], ""AIADMK+"": [82, 85], ""TVK"": [10, 14], ""Others"": [0, 0]}","{""SPA"": [135, 140], ""AIADMK+"": [82, 85], ""TVK"": [10, 14], ""Others"": [0, 0]}","{""SPA"": 73, ""AIADMK+"": 53, ""TVK"": 108, ""Others"": 0}","Wikipedia: 2026 Tamil Nadu Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Tamil_Nadu_Legislative_Assembly_election",1.0712,0,0.2041,SPA,TVK
tamil_nadu_2026,2026 Tamil Nadu Legislative Assembly election,2026-05-04,Tamil Nadu,234,Praja Poll,Praja Poll,"{""SPA"": [148, 168], ""AIADMK+"": [61, 81], ""TVK"": [0, 0], ""Others"": [0, 0]}","{""SPA"": [148, 168], ""AIADMK+"": [61, 81], ""TVK"": [0, 0], ""Others"": [0, 0]}","{""SPA"": 73, ""AIADMK+"": 53, ""TVK"": 108, ""Others"": 0}","Wikipedia: 2026 Tamil Nadu Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Tamil_Nadu_Legislative_Assembly_election",1.1453,0,0.2254,SPA,TVK
tamil_nadu_2026,2026 Tamil Nadu Legislative Assembly election,2026-05-04,Tamil Nadu,234,Spick Media,Spick Media,"{""SPA"": [89, 101], ""AIADMK+"": [124, 127], ""TVK"": [4, 6], ""Others"": [0, 0]}","{""SPA"": [89, 101], ""AIADMK+"": [124, 127], ""TVK"": [4, 6], ""Others"": [0, 0]}","{""SPA"": 73, ""AIADMK+"": 53, ""TVK"": 108, ""Others"": 0}","Wikipedia: 2026 Tamil Nadu Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Tamil_Nadu_Legislative_Assembly_election",1.1011,0,0.211,AIADMK+,TVK
tamil_nadu_2026,2026 Tamil Nadu Legislative Assembly election,2026-05-04,Tamil Nadu,234,Today's Chanakya,Today's Chanakya,"{""SPA"": [114, 136], ""AIADMK+"": [34, 56], ""TVK"": [52, 74], ""Others"": [0, 2]}","{""SPA"": [114, 136], ""AIADMK+"": [34, 56], ""TVK"": [52, 74], ""Others"": [0, 2]}","{""SPA"": 73, ""AIADMK+"": 53, ""TVK"": 108, ""Others"": 0}","Wikipedia: 2026 Tamil Nadu Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Tamil_Nadu_Legislative_Assembly_election",0.5214,0,0.1132,SPA,TVK
tamil_nadu_2026,2026 Tamil Nadu Legislative Assembly election,2026-05-04,Tamil Nadu,234,Vote Vibe,Vote Vibe,"{""SPA"": [103, 113], ""AIADMK+"": [114, 124], ""TVK"": [4, 10], ""Others"": [0, 0]}","{""SPA"": [103, 113], ""AIADMK+"": [114, 124], ""TVK"": [4, 10], ""Others"": [0, 0]}","{""SPA"": 73, ""AIADMK+"": 53, ""TVK"": 108, ""Others"": 0}","Wikipedia: 2026 Tamil Nadu Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Tamil_Nadu_Legislative_Assembly_election",1.114,0,0.2158,AIADMK+,TVK
